timestamp;ipCliente;comando;nivelLog;mensaje
2023-10-26 23:02:28;127.0.0.1;levantarServidor true;ERROR;list index out of range
2023-10-26 23:04:58;127.0.0.1;conectarRobot;ERROR;De Brazo Robot - Al intentar conectar con el brazo. Codigo(1)
2023-10-26 23:05:05;127.0.0.1;desconectarRobot;ERROR;De Brazo Robot - Robot ya desconectado. Codigo(4)
2023-10-26 23:05:24;127.0.0.1;activarMotores;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:06:33;127.0.0.1;activarPinza;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:06:42;127.0.0.1;conectarRobot;ERROR;De Brazo Robot - Al intentar conectar con el brazo. Codigo(1)
2023-10-26 23:06:50;127.0.0.1;desactivarMotores;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:06:59;127.0.0.1;desactivarPinza;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:07:06;127.0.0.1;home;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:07:17;127.0.0.1;movLineal 10 10 10 ;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:07:31;127.0.0.1;movLineal 0 10 2 23;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:07:43;127.0.0.1;posicionActual;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:07:54;127.0.0.1;seleccionarModo r;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:07:58;127.0.0.1;seleccionarModo a;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:08:09;127.0.0.1;obtenerLogServidor;INFO;Muestra del Log del Servidor.
2023-10-26 23:10:20;127.0.0.1;obtenerLogServidor;INFO;Muestra del Log del Servidor.
2023-10-26 23:10:36;127.0.0.1;grabar chotita.txt;Comandos se almacenaran en chotita.txt;
2023-10-26 23:10:53;127.0.0.1;movLineal 10 10 10 10;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:11:00;127.0.0.1;home;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:11:09;127.0.0.1;activarPinza;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:11:11;127.0.0.1;activarMotores;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:11:15;127.0.0.1;desactivarMotores;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:11:18;127.0.0.1;desactivarPinza;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:11:19;127.0.0.1;home;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:11:32;127.0.0.1;desactivarMotores;ERROR;De Brazo Robot - No se pudo enviar el comando, robot desconectado. Codigo(2)
2023-10-26 23:11:37;127.0.0.1;desconectarRobot;ERROR;De Brazo Robot - Robot ya desconectado. Codigo(4)
2023-10-26 23:11:53;127.0.0.1;listarArchivosDeTrabajo;chota.txt;
2023-10-26 23:11:53;127.0.0.1;listarArchivosDeTrabajo;chotita.txt;
2023-10-26 23:11:53;127.0.0.1;listarArchivosDeTrabajo;;
2023-10-26 23:12:04;127.0.0.1;cargar;ERROR;De Comando - Sintaxis incorrecta. Codigo(1)
2023-10-26 23:12:08;127.0.0.1;cargar;ERROR;De Comando - Sintaxis incorrecta. Codigo(1)
2023-10-26 23:12:11;127.0.0.1;cargar;ERROR;De Comando - Sintaxis incorrecta. Codigo(1)
2023-10-26 23:13:02;127.0.0.1;conectarRobot;ERROR;De Brazo Robot - Al intentar conectar con el brazo. Codigo(1)
2023-10-26 23:13:07;127.0.0.1;desconectarRobot;ERROR;De Brazo Robot - Robot ya desconectado. Codigo(4)
